Type,StartX,StartY,EndX,EndY,Width
Wall,254234.8285739638,2821102.073707878,254238.44118431682,2821100.312116775,0.0
Wall,254254.0498346261,2821100.949830112,254251.04638684753,2821102.414379667,0.0
Wall,254251.04638684753,2821102.414379667,254249.8887721694,2821100.0403833613,0.0
Wall,254249.8887721694,2821100.0403833613,254251.22801417304,2821099.3873384525,0.0
Wall,254251.75977213556,2821099.1280411566,254252.89221994794,2821098.575833806,0.0
Wall,254252.89221994794,2821098.575833806,254254.0498346261,2821100.949830112,0.0
Wall,254244.1966767465,2821090.2185699726,254242.57648343313,2821087.1391711147,0.0
Wall,254242.57648343313,2821087.1391711147,254238.93003365627,2821088.9172630915,0.0
Wall,254238.93003365627,2821088.9172630915,254239.61418192324,2821090.219317156,0.0
Wall,254239.90175447986,2821090.7666181345,254240.55054893307,2821092.001387695,0.0
Wall,254240.55054893307,2821092.001387695,254244.1966767465,2821090.2185699726,0.0
Wall,254240.38021466657,2821085.0408875262,254235.44766798313,2821076.937910456,0.0
Wall,254228.67025898793,2821076.0017146356,254233.19945632806,2821073.2446443485,0.0
Wall,254231.23536547358,2821080.295542699,254235.93609076476,2821077.7402705457,0.0
Wall,254230.83371984266,2821069.3583134683,254231.65607713562,2821068.9573133187,0.0
Wall,254231.65607713562,2821068.9573133187,254229.693415981,2821064.9323554304,0.0
Wall,254229.693415981,2821064.9323554304,254224.52629068462,2821068.00024951,0.0
Wall,254224.52629068462,2821068.00024951,254225.09478579264,2821069.306847754,0.0
Wall,254227.6340931327,2821066.1550438716,254227.30068792368,2821065.471307954,0.0
Wall,254233.77139551772,2821084.5406986144,254235.67188023104,2821087.721991337,0.0
Wall,254235.67188023104,2821087.721991337,254240.38021466657,2821085.0408875262,0.0
Wall,254233.88895199768,2821074.377318393,254230.43374312273,2821068.7012487915,0.0
Wall,254230.43374312273,2821068.7012487915,254226.00227539308,2821071.285516616,0.0
Wall,254226.00227539308,2821071.285516616,254225.81882200137,2821070.9709332054,0.0
Wall,254225.81882200137,2821070.9709332054,254220.22188924745,2821074.212716445,0.0
Wall,254220.22188924745,2821074.212716445,254221.36314780693,2821076.1830972326,0.0
Wall,254234.5998432915,2821075.5451402552,254234.05501990658,2821074.6501276623,0.0
Wall,254235.3456946324,2821076.7703929897,254234.7833929318,2821075.8466677666,0.0
Wall,254230.19887261192,2821078.5605183784,254233.12101331088,2821083.4519994175,0.0
Wall,254221.8182587885,2821076.9688454987,254223.12007147947,2821079.2164226966,0.0
Wall,254223.12007147947,2821079.2164226966,254228.67025898793,2821076.0017146356,0.0
Wall,254228.67025898793,2821076.0017146356,254229.7637572218,2821077.832162389,0.0
Wall,254225.37986198816,2821069.9620513804,254225.81882200137,2821070.9709332054,0.0
Wall,254227.08558175465,2821065.0301756323,254226.39251682188,2821063.608861942,0.0
Wall,254226.39251682188,2821063.608861942,254223.96640751167,2821064.791888108,0.0
Wall,254224.54190147534,2821067.6604071287,254224.66322976546,2821067.918944225,0.0
Wall,254224.10589624027,2821066.731328449,254224.40162091394,2821067.3614848494,0.0
Wall,254223.75794113017,2821064.8935410646,254223.33925528824,2821065.0977018187,0.0
Wall,254223.33925528824,2821065.0977018187,254223.81396349642,2821066.1092522303,0.0
Wall,254262.93287865396,2821093.7780023264,254266.04897499044,2821092.2585227685,0.0
Wall,254266.04897499044,2821092.2585227685,254265.64151999983,2821091.4229281093,0.0
Wall,254257.4327915364,2821085.955023636,254256.0341556649,2821083.0867493693,0.0
Wall,254256.0341556649,2821083.0867493693,254254.5718055924,2821083.751169896,0.0
Wall,254265.30896487634,2821090.7409355175,254264.86747778268,2821089.8355489937,0.0
Wall,254264.86747778268,2821089.8355489937,254261.7513814462,2821091.3550285515,0.0
Wall,254261.7513814462,2821091.3550285515,254262.93287865396,2821093.7780023264,0.0
Wall,254253.58871122822,2821084.1978400117,254252.24446391826,2821084.808600405,0.0
Wall,254252.24446391826,2821084.808600405,254253.65988865486,2821087.711304698,0.0
Wall,254253.65988865486,2821087.711304698,254257.4327915364,2821085.955023636,0.0
Wall,254246.39328826903,2821075.2325580684,254246.12308611654,2821075.3845674023,0.0
Wall,254241.50836163192,2821075.1557679,254240.8879034057,2821074.052880704,0.0
Wall,254240.8879034057,2821074.052880704,254244.70698981843,2821071.9338159407,0.0
Wall,254244.70698981843,2821071.9338159407,254245.2249846183,2821072.9471189342,0.0
Wall,254245.19708362067,2821075.9055144843,254242.71554024113,2821077.3015720407,0.0
Wall,254242.71554024113,2821077.3015720407,254241.9807847561,2821075.995517286,0.0
Wall,254245.8828257933,2821075.5197321726,254245.32221932473,2821075.8351160996,0.0
Wall,254246.03175760354,2821074.5253306874,254246.39328826903,2821075.2325580684,0.0
Wall,254245.43385805175,2821073.3557177763,254245.84377225788,2821074.157593186,0.0
Wall,254235.47507404778,2821059.7884036135,254230.9394749889,2821062.000065035,0.0
